timestamp,phase,dataset,task,stage,layer_seq_index,pct,repeats,accuracy,f1,epochs,best_ckpt,fig_loss,fig_metric,mae,rmse
20250813-111348,healing,breast_cancer,clf,baseline,0,0.2,5,0.9534883720930232,0.9629629629629628,,,,,,
20250813-111348,healing,breast_cancer,clf,post_damage,0,0.2,5,0.872093023255814,0.8990825688073395,,,,,,
20250813-111348,healing,breast_cancer,clf,healed_short,0,0.2,5,0.9302325581395348,0.9444444444444444,15.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_firstHidden_p20_r5_short_20250813-111345_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_firstHidden_p20_r5_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_firstHidden_p20_r5_short_accuracy.png,,
20250813-111348,healing,breast_cancer,clf,healed_long,0,0.2,5,0.9651162790697676,0.97196261682243,46.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_firstHidden_p20_r5_long_20250813-111346_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_firstHidden_p20_r5_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_firstHidden_p20_r5_long_accuracy.png,,
20250813-112016,healing,breast_cancer,clf,baseline,9,0.2,1,0.9534883720930232,0.9629629629629628,,,,,,
20250813-112016,healing,breast_cancer,clf,post_damage,9,0.2,1,0.9651162790697676,0.972972972972973,,,,,,
20250813-112016,healing,breast_cancer,clf,healed_short,9,0.2,1,0.9534883720930232,0.9629629629629628,15.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_OUTPUT_p20_r1_short_20250813-112014_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_p20_r1_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_p20_r1_short_accuracy.png,,
20250813-112016,healing,breast_cancer,clf,healed_long,9,0.2,1,0.9534883720930232,0.9629629629629628,27.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_OUTPUT_p20_r1_long_20250813-112015_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_p20_r1_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_p20_r1_long_accuracy.png,,
20250813-112814,healing,breast_cancer,clf,baseline,9,0.2,5,0.9534883720930232,0.9629629629629628,,,,,,
20250813-112814,healing,breast_cancer,clf,post_damage,9,0.2,5,0.3720930232558139,0.0,,,,,,
20250813-112814,healing,breast_cancer,clf,healed_short,9,0.2,5,0.3720930232558139,0.0,6.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_OUTPUT_p20_r5_short_20250813-112812_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_p20_r5_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_p20_r5_short_accuracy.png,,
20250813-112814,healing,breast_cancer,clf,healed_long,9,0.2,5,0.3720930232558139,0.0,21.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_clf_OUTPUT_p20_r5_long_20250813-112813_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_p20_r5_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_clf_OUTPUT_p20_r5_long_accuracy.png,,
20250813-113346,healing,california_housing,reg,baseline,0,0.2,5,,,,,,,0.374850183725357,0.5373355181330539
20250813-113346,healing,california_housing,reg,post_damage,0,0.2,5,,,,,,,0.6136718988418579,0.9004139597221144
20250813-113346,healing,california_housing,reg,healed_short,0,0.2,5,,,15.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_reg_firstHidden_p20_r5_short_20250813-113220_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_firstHidden_p20_r5_short_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_firstHidden_p20_r5_short_RMSE.png,0.3913136422634125,0.5505083368399453
20250813-113346,healing,california_housing,reg,healed_long,0,0.2,5,,,112.0,c:\Users\Admin\Desktop\ffnn-healing\models\heal_reg_firstHidden_p20_r5_long_20250813-113230_best.pt,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_firstHidden_p20_r5_long_loss.png,c:\Users\Admin\Desktop\ffnn-healing\figures\heal_reg_firstHidden_p20_r5_long_RMSE.png,0.3671099841594696,0.5211531197786209
